station_id,indexes,nearest_forecast_long,nearest_forecast_lat,long,forecast,lat,year,month,day,hour
SN20301,[330 304],10.254675169177471,60.17706707308075,10.2478,267.69543,60.1665,2019.0,01,31,18
SN53990,[361 248],7.580887940977967,60.75159090418886,7.5748,260.35852,60.7418,2019.0,01,31,18
SN51460,[360 218],6.220453256711425,60.64463470578632,6.2048,270.4757,60.6377,2019.0,01,31,18
SN76240,[552 353],11.997127860908154,65.2243542368322,11.9927,269.79016,65.22,2019.0,01,31,18
SN19825,[302 309],10.567007006030044,59.558056650406314,10.5813,268.7638,59.5513,2019.0,01,31,18
SN69655,[480 324],10.703552998072972,63.57167342824669,10.6932,270.54407,63.5652,2019.0,01,31,18
SN50850,[350 199],5.427354600132427,60.36159565064478,5.4515,271.96204,60.357,2019.0,01,31,18
SN69520,[468 350],12.043441299151107,63.33524982241991,12.0385,264.26282,63.3407,2019.0,01,31,18
SN25630,[350 260],8.183088881568867,60.53577021390059,8.1948,262.24915,60.53,2019.0,01,31,18
SN62980,[456 266],7.92382770528461,62.918884794125795,7.925,269.3048,62.93,2019.0,01,31,18
SN43520,[270 212],6.491987672126441,58.62479198215964,6.4867,269.07922,58.6265,2019.0,01,31,18
SN99540,[751 634],29.24281564102694,69.15332448114596,29.244,256.96008,69.147,2019.0,01,31,18
SN55928,[384 228],6.530296137675307,61.209084072358,6.5285,273.63977,61.2028,2019.0,01,31,18
SN99740,[948 533],24.86219519204222,73.86948259451785,28.8883,273.86145,78.9067,2019.0,01,31,18
SN76530,[579 362],12.421191239865124,65.83898503300419,12.4255,271.2599,65.8295,2019.0,01,31,18
SN30020,[281 296],10.064164030415457,59.06686940485525,10.0448,271.13684,59.0768,2019.0,01,31,18
SN60650,[430 248],7.196833951338362,62.2915250036169,7.2173,270.82922,62.288,2019.0,01,31,18
SN700,[404 347],12.040802076167031,61.89482561575644,12.0462,257.07043,61.887,2019.0,01,31,18
SN89010,[733 459],18.158665714548075,69.28272053396415,18.1288,267.12024,69.2897,2019.0,01,31,18
SN27403,[287 305],10.437369373684076,59.21600613776828,10.45442,271.8468,59.2084,2019.0,01,31,18
SN67005,[470 309],9.987488606369165,63.32304655660383,9.9983,268.44055,63.3297,2019.0,01,31,18
SN41480,[267 233],7.405269595315908,58.616854165500996,7.4128,268.3888,58.6172,2019.0,01,31,18
SN38250,[246 249],8.185899998111125,58.189196703384525,8.1865,273.41418,58.1995,2019.0,01,31,18
SN31970,[319 267],8.640969432808038,59.85933111049101,8.6562,260.87317,59.8497,2019.0,01,31,18
SN18270,[320 318],10.914253229842554,59.97461617017038,10.9185,265.7921,59.9683,2019.0,01,31,18
SN42700,[258 214],6.644346521277986,58.36396188769344,6.6315,271.8556,58.3702,2019.0,01,31,18
SN26820,[312 295],9.913769978393967,59.75866790617959,9.8922,266.98938,59.7613,2019.0,01,31,18
SN57710,[405 199],5.042076115374068,61.5831670040655,5.0278,274.31262,61.5832,2019.0,01,31,18
SN99752,[948 426],16.362976393134154,74.07512205898458,16.5428,274.59387,76.4733,2019.0,01,31,18
SN26802,[311 297],10.006102959627393,59.7398039873038,10.0258,267.13782,59.7328,2019.0,01,31,18
SN37580,[298 244],7.72515927872215,59.336000825885534,7.71,263.53528,59.3445,2019.0,01,31,18
SN69035,[474 323],10.673530679834926,63.43557729745129,10.664,269.75696,63.4262,2019.0,01,31,18
SN65940,[496 281],8.460239839290745,63.84878556923339,8.4667,275.2843,63.8467,2019.0,01,31,18
SN21700,[367 304],10.128219318092741,61.005894543235506,10.1453,262.66223,61.0102,2019.0,01,31,18
SN27406,[285 305],10.443576502326195,59.17124806623007,10.4238,272.49426,59.169,2019.0,01,31,18
SN54770,[384 255],7.782274864704213,61.28291567053324,7.766,265.90735,61.2722,2019.0,01,31,18
SN670,[402 346],11.99759163150318,61.848874816770355,11.9928,256.28723,61.8405,2019.0,01,31,18
SN27065,[301 302],10.261027200154178,59.52447533015328,10.2643,268.85754,59.531,2019.0,01,31,18
SN36010,[262 266],8.840215064222607,58.58436888688497,8.8413,273.1505,58.5738,2019.0,01,31,18
SN85645,[673 378],13.1502939294106,67.95825395036634,13.1543,274.9093,67.9627,2019.0,01,31,18
SN76969,[392 142],2.5182660686811684,61.072973262098664,2.5063,277.43372,61.079,2019.0,01,31,18
SN97470,[746 554],24.221731754623043,69.36788371280649,24.2018,252.02553,69.3772,2019.0,01,31,18
SN49955,[352 232],6.902975216421944,60.50762024984645,6.9147,272.69836,60.5157,2019.0,01,31,18
SN11340,[342 313],10.623280038263113,60.460224787774976,10.643,264.39954,60.4548,2019.0,01,31,18
SN35860,[264 273],9.132204076894284,58.643669244843394,9.1479,274.67493,58.6361,2019.0,01,31,18
SN91728,[771 494],20.568376739740046,70.07595895617628,20.5647,268.32532,70.0662,2019.0,01,31,18
SN25040,[360 273],8.729488280264263,60.78892550178653,8.7443,262.3429,60.786,2019.0,01,31,18
SN71990,[517 322],10.471263351581996,64.39837530961313,10.455,271.2433,64.4013,2019.0,01,31,18
SN45460,[289 204],6.037145567888276,59.022664041177414,6.049,273.27356,59.0147,2019.0,01,31,18
