station_id,lat,long,year,month,day,hour,forecast,gridpp,observation,observation_quality,gridpp_error,number_of_observations
SN12550,60.7733,10.8055,2019,5,13,12,9.924320000000025,9.25,9.1,0,0.1500000000000003,1378.0
SN68050,63.4428,10.4428,2019,5,13,12,8.187999999999988,7.613679999999988,7.3,0,0.3136799999999882,1371.0
SN76959,60.5425,3.0468,2019,5,13,12,6.850099999999998,6.858339999999998,7.6,0,0.7416600000000013,1301.0
SN36200,58.3988,8.7893,2019,5,13,12,8.657699999999977,10.25,10.1,0,0.1500000000000003,1390.0
SN58100,61.8293,6.1043,2019,5,13,12,8.867680000000007,8.149999999999977,8.0,0,0.1499999999999772,1391.0
SN78170,66.053,13.5822,2019,5,13,12,2.8910999999999945,5.458250000000021,4.8,0,0.6582500000000211,1307.0
SN61420,62.4458,7.8355,2019,5,13,12,2.663569999999993,7.350000000000023,7.2,0,0.1500000000000225,1380.0
SN44080,58.6592,5.5553,2019,5,13,12,9.468259999999988,7.449999999999989,7.3,0,0.1499999999999888,1390.0
SN76926,58.3711,1.9091,2019,5,13,12,8.394040000000018,8.26339999999999,8.9,0,0.6366000000000103,1375.0
SN89980,69.0935,19.6278,2019,5,13,12,0.6049800000000118,3.6878699999999753,4.5,0,0.8121300000000247,1363.0
SN83960,68.2565,16.3953,2019,5,13,12,3.1918999999999755,2.8341399999999908,3.4,0,0.5658600000000091,1318.0
SN58770,61.9032,6.026,2019,5,13,12,7.437000000000012,10.548900000000003,8.1,0,2.448900000000004,1309.0
SN79764,66.4993,14.954,2019,5,13,12,1.7114300000000071,5.149999999999977,5.0,0,0.1499999999999772,1390.0
SN50480,60.2913,5.2777,2019,5,13,12,10.53370000000001,10.76690000000002,11.5,0,0.7330999999999808,1335.0
SN57810,61.7707,5.2983,2019,5,13,12,5.5971700000000055,8.555420000000026,8.5,0,0.0554200000000264,1388.0
SN65310,63.5185,7.9533,2019,5,13,12,6.10302999999999,6.949999999999989,6.8,0,0.1499999999999888,1393.0
SN52310,60.8562,5.9733,2019,5,13,12,6.389160000000004,9.949999999999989,9.8,0,0.1499999999999879,1360.0
SN59586,62.3468,5.9143,2019,5,13,12,6.180180000000007,8.863920000000007,6.9,0,1.963920000000007,1274.0
SN25110,60.8548,8.593,2019,5,13,12,6.07080000000002,8.75,8.6,0,0.1500000000000003,1366.0
SN10800,62.6793,11.8153,2019,5,13,12,2.613769999999988,2.8500000000000227,2.7,0,0.1500000000000225,1364.0
SN28923,60.0393,9.1667,2019,5,13,12,10.734860000000026,12.86423000000002,12.0,0,0.8642300000000205,1330.0
SN24240,60.2588,9.8453,2019,5,13,12,10.57080000000002,11.416299999999978,11.0,0,0.4162999999999783,1267.0
SN73630,64.6237,12.6053,2019,5,13,12,4.636230000000012,5.963999999999999,5.8,0,0.1639999999999988,1326.0
SN38140,58.34,8.5225,2019,5,13,12,11.950679999999975,11.449999999999989,11.3,0,0.1499999999999879,1390.0
SN50539,60.3837,5.332,2019,5,13,12,10.242680000000007,10.649999999999975,10.3,0,0.3499999999999748,1388.0
SN11790,60.791,10.3998,2019,5,13,12,8.794429999999977,9.28958,8.1,0,1.1895800000000012,1323.0
SN39100,58.0732,8.0532,2019,5,13,12,9.190920000000006,9.176150000000009,10.5,0,1.323849999999991,1258.0
SN55770,61.1792,6.8608,2019,5,13,12,8.187999999999988,10.477100000000007,9.5,0,0.9771000000000072,1392.0
SN58910,61.912,6.5835,2019,5,13,12,7.642100000000028,6.949999999999989,6.2,0,0.7499999999999885,1332.0
SN91675,69.7537,20.506,2019,5,13,12,4.3403299999999945,4.465759999999989,4.1,0,0.3657599999999892,1327.0
SN26970,59.6625,10.3802,2019,5,13,12,12.09620000000001,12.708100000000002,11.9,0,0.8081000000000014,1305.0
SN70980,64.1492,11.7635,2019,5,13,12,6.457519999999988,6.170700000000011,4.2,0,1.9707000000000103,1277.0
SN44190,58.7345,5.7262,2019,5,13,12,10.092300000000025,10.87511999999998,8.6,0,2.27511999999998,1290.0
SN99950,70.9394,-8.669,2019,5,13,12,1.7671000000000276,1.0641200000000026,0.0,0,1.0641200000000026,1387.0
SN37150,59.0523,8.6537,2019,5,13,12,8.80322000000001,10.542629999999974,8.7,0,1.842629999999975,1361.0
SN4950,60.1468,11.494,2019,5,13,12,11.404800000000025,12.06740000000002,10.0,0,2.067400000000021,1315.0
SN61060,62.6512,6.7552,2019,5,13,12,7.404800000000023,7.75,7.6,0,0.1500000000000003,1391.0
SN6170,60.624,11.9425,2019,5,13,12,10.110839999999996,10.62927000000002,9.2,0,1.4292700000000202,1261.0
SN3290,59.3882,11.3905,2019,5,13,12,12.451660000000004,13.112099999999998,13.8,0,0.6879000000000026,1381.0
SN50500,60.2892,5.2265,2019,5,13,12,10.35205000000002,9.550000000000011,9.4,0,0.150000000000011,1391.0
SN3730,59.5923,11.095,2019,5,13,12,12.557129999999972,12.865259999999978,10.4,0,2.4652599999999776,1307.0
SN9310,62.2207,9.5423,2019,5,13,12,2.1811500000000024,1.3500000000000227,1.2,0,0.1500000000000227,1385.0
SN84970,68.4912,16.6833,2019,5,13,12,5.1410999999999945,6.050000000000011,5.9,0,0.150000000000011,1386.0
SN45350,59.0552,6.6467,2019,5,13,12,7.527829999999994,11.050839999999994,10.6,0,0.4508399999999941,1385.0
SN87000,68.7183,15.3112,2019,5,13,12,4.28955000000002,1.310420000000022,-0.4,0,1.7104200000000218,1391.0
SN49085,60.2263,6.4347,2019,5,13,12,-1.5395500000000195,0.1037000000000034,1.6,0,1.4962999999999966,1352.0
SN87763,68.6269,16.5921,2019,5,13,12,6.002439999999979,6.653700000000015,9.0,0,2.346299999999985,1329.0
SN67280,62.9535,10.1788,2019,5,13,12,5.3784200000000055,5.25,5.1,0,0.1500000000000003,1384.0
SN26790,59.7498,10.0275,2019,5,13,12,10.794429999999975,13.758269999999982,12.1,0,1.658269999999982,1391.0
SN82290,67.267,14.3637,2019,5,13,12,5.551269999999988,4.949999999999989,4.8,0,0.1499999999999888,1264.0
SN50503,60.35,5.3967,2019,5,13,12,9.413569999999993,9.725250000000017,8.1,0,1.6252500000000172,1392.0
SN77230,65.7842,13.218,2019,5,13,12,5.154800000000023,4.550000000000011,4.4,0,0.150000000000011,1390.0
SN48170,59.9127,5.488,2019,5,13,12,8.225099999999998,8.945100000000025,9.8,0,0.8548999999999758,1329.0
SN67890,62.7403,11.3245,2019,5,13,12,1.0063499999999976,4.195679999999982,0.7,0,3.495679999999981,1321.0
